Code;Title
Adult_curr_cig_smoking;See TOBACCO_INDICATOR
Adult_curr_e-cig;Prevalence of current e-cigarette use among adults (%)
Adult_curr_smokeless;Prevalence of current smokeless tobacco use among adults (%)
Adult_curr_tob_smoking;Prevalence of current tobacco smoking among adults (%)
Adult_curr_tob_use;Prevalence of current tobacco use among adults (%)
Adult_daily_cig_smoking;Prevalence of daily cigarette smoking among adults (%)
Adult_daily_e-cig;Prevalence of daily e-cigarette use among adults (%)
Adult_daily_smokeless;Prevalence of daily smokeless tobacco use among adults (%)
Adult_daily_tob_smoking;Prevalence of daily tobacco smoking among adults (%)
Adult_daily_tob_use;Prevalence of daily tobacco use among adults (%)
Adult_nonsmoked_age_grp;Age range of latest adult prevalence survey (nonsmoked)
Adult_nonsmoked_national;Representation of latest adult prevalence survey (nonsmoked)
Adult_nonsmoked_svy_title;Name of latest adult prevalence survey (nonsmoked)
Adult_nonsmoked_svy_yr;Year of latest adult prevalence survey (nonsmoked)
Adult_survey_title;Title of most recent survey of adults
Adult_svy_age_range;Age range of most recent survey of adults
Adult_svy_national;Representativeness of most recent survey of adults
Adult_svy_yr;Year of most recent survey of adults
AIR_10;Ambient air pollution  attributable DALYs per 100'000 children under 5 years
AIR_11;Household air pollution attributable deaths
AIR_12;Household air pollution attributable deaths in children under 5 years
AIR_13;Household air pollution attributable deaths per 100'000 capita
AIR_14;Household air pollution  attributable deaths per 100'000 children under 5 years
AIR_15;Household air pollution attributable DALYs
AIR_16;Household air pollution attributable DALYs in children under 5 years
AIR_17;Household air pollution attributable DALYs (per 100 000 population)
AIR_18;Household air pollution  attributable DALYs per 100'000 children under 5 years
AIR_3;Percentage of the total population living in cities > 100'000 inhabitants
AIR_3_1;Percent of urban inhabitants living in cities covered by PM measurements
AIR_35;Household and ambient air pollution attributable deaths
AIR_36;Joint effects of air pollution attributable deaths in children under 5 years
AIR_39;Household air pollution attributable DALYs (per 100 000, age-standardized)
AIR_4;Ambient air pollution attributable deaths in children under 5 years
AIR_41;Ambient air pollution attributable deaths
AIR_42;Ambient air pollution attributable death rate (per 100 000 population, age-standardized)
AIR_43;Ambient air pollution attributable DALYs (please see AIR_7)
AIR_44;DALYs attributable to ambient air pollution (age-standardized)
AIR_45;Ambient air pollution attributable YLLs
AIR_46;Ambient air pollution attributable YLL in children under 5 years
AIR_5;Ambient air pollution attributable death rate (per 100 000 population)
AIR_50;Ambient air pollution attributable deaths (per 100 000 population, age-standardized)
AIR_51;Household air pollution attributable death rate (per 100 000 population)
AIR_52;Household air pollution attributable death rate (per 100 000 population, age-standardized)
AIR_6;Ambient air pollution  attributable deaths per 100'000 children under 5 years
AIR_60;Household and ambient air pollution attributable DALYs
AIR_61;Household and ambient air pollution attributable DALYs (per 100 000 capita)
AIR_62;Household and ambient air pollution attributable DALYs (per 100 000 capita, age-standardized)
AIR_63;Household and ambient air pollution attributable DALYs in children under 5 years ('000)
AIR_7;Ambient air pollution attributable DALYs
AIR_71;Ambient air pollution attributable DALYs in children under 15 years
AIR_72;Ambient air pollution attributable deaths in children under 15 years
AIR_73;Ambient air pollution attributable YLL in children under 15 years
AIR_74;Household air pollution attributable deaths in children under 15 years
AIR_75;Household air pollution attributable DALYs in children under 15 years
AIR_8;Ambient air pollution attributable DALYs  in children under 5 years
AIR_9;Ambient air pollution attributable DALYs  (per 100 000 population)
AIR_90;Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)
AMR_GI_001;Status of countries enrolled in GLASS
AMR_GI_002;Status of National coordination center establishment
AMR_GI_003;Status of National plans to implement and strengthen antimicrobial surveillance
AMR_INFECT_ECOLI;Proportion of bloodstream infection due to Escherichia coli resistant to third-generation cephalosporins (%)
AMR_INFECT_MRSA;Proportion of bloodstream infection due to methicillin-resistant Staphylococcus aureus (MRSA) (%)
AMRGLASS_COORD01;Functioning national AMR surveillance plan
AMRGLASS_COORD02;Establishment of National Coordination Centre (NCC)
AMRGLASS_COORD03;Nomination of National Focal Point (NFP)
AMRGLASS_COORD04;Establishment of national reference laboratory (NRL)
