tp;zgony;month;year;monthno;date;t
2000-01-01;38346;M01;2000;1;2000-01-01;1
2000-01-01;34216;M02;2000;2;2000-02-01;2
2000-01-01;31740;M03;2000;3;2000-03-01;3
2000-01-01;29451;M04;2000;4;2000-04-01;4
2000-01-01;29145;M05;2000;5;2000-05-01;5
2000-01-01;27895;M06;2000;6;2000-06-01;6
2000-01-01;28230;M07;2000;7;2000-07-01;7
2000-01-01;28686;M08;2000;8;2000-08-01;8
2000-01-01;28636;M09;2000;9;2000-09-01;9
2000-01-01;30451;M10;2000;10;2000-10-01;10
2000-01-01;29913;M11;2000;11;2000-11-01;11
2000-01-01;31319;M12;2000;12;2000-12-01;12
2001-01-01;33011;M01;2001;1;2001-01-01;13
2001-01-01;28798;M02;2001;2;2001-02-01;14
2001-01-01;31086;M03;2001;3;2001-03-01;15
2001-01-01;29627;M04;2001;4;2001-04-01;16
2001-01-01;29931;M05;2001;5;2001-05-01;17
2001-01-01;28565;M06;2001;6;2001-06-01;18
2001-01-01;29603;M07;2001;7;2001-07-01;19
2001-01-01;28598;M08;2001;8;2001-08-01;20
2001-01-01;28458;M09;2001;9;2001-09-01;21
2001-01-01;30626;M10;2001;10;2001-10-01;22
2001-01-01;30353;M11;2001;11;2001-11-01;23
2001-01-01;34564;M12;2001;12;2001-12-01;24
2002-01-01;31732;M01;2002;1;2002-01-01;25
2002-01-01;27391;M02;2002;2;2002-02-01;26
2002-01-01;31619;M03;2002;3;2002-03-01;27
2002-01-01;30899;M04;2002;4;2002-04-01;28
2002-01-01;30006;M05;2002;5;2002-05-01;29
2002-01-01;28222;M06;2002;6;2002-06-01;30
2002-01-01;29074;M07;2002;7;2002-07-01;31
2002-01-01;28097;M08;2002;8;2002-08-01;32
2002-01-01;27453;M09;2002;9;2002-09-01;33
2002-01-01;31545;M10;2002;10;2002-10-01;34
2002-01-01;29661;M11;2002;11;2002-11-01;35
2002-01-01;33787;M12;2002;12;2002-12-01;36
2003-01-01;33809;M01;2003;1;2003-01-01;37
2003-01-01;31147;M02;2003;2;2003-02-01;38
2003-01-01;36552;M03;2003;3;2003-03-01;39
2003-01-01;30275;M04;2003;4;2003-04-01;40
2003-01-01;29207;M05;2003;5;2003-05-01;41
2003-01-01;27953;M06;2003;6;2003-06-01;42
2003-01-01;28804;M07;2003;7;2003-07-01;43
2003-01-01;27654;M08;2003;8;2003-08-01;44
2003-01-01;27781;M09;2003;9;2003-09-01;45
2003-01-01;30855;M10;2003;10;2003-10-01;46
2003-01-01;29529;M11;2003;11;2003-11-01;47
2003-01-01;31664;M12;2003;12;2003-12-01;48
2004-01-01;33960;M01;2004;1;2004-01-01;49
2004-01-01;30874;M02;2004;2;2004-02-01;50
2004-01-01;30796;M03;2004;3;2004-03-01;51
2004-01-01;29540;M04;2004;4;2004-04-01;52
2004-01-01;29828;M05;2004;5;2004-05-01;53
2004-01-01;28906;M06;2004;6;2004-06-01;54
2004-01-01;29176;M07;2004;7;2004-07-01;55
2004-01-01;28802;M08;2004;8;2004-08-01;56
2004-01-01;28145;M09;2004;9;2004-09-01;57
2004-01-01;31082;M10;2004;10;2004-10-01;58
2004-01-01;29845;M11;2004;11;2004-11-01;59
2004-01-01;32568;M12;2004;12;2004-12-01;60
2005-01-01;32946;M01;2005;1;2005-01-01;61
2005-01-01;30965;M02;2005;2;2005-02-01;62
2005-01-01;35667;M03;2005;3;2005-03-01;63
2005-01-01;30863;M04;2005;4;2005-04-01;64
2005-01-01;31303;M05;2005;5;2005-05-01;65
2005-01-01;28583;M06;2005;6;2005-06-01;66
2005-01-01;29274;M07;2005;7;2005-07-01;67
2005-01-01;28369;M08;2005;8;2005-08-01;68
2005-01-01;27948;M09;2005;9;2005-09-01;69
2005-01-01;30754;M10;2005;10;2005-10-01;70
2005-01-01;29822;M11;2005;11;2005-11-01;71
2005-01-01;31791;M12;2005;12;2005-12-01;72
2006-01-01;33636;M01;2006;1;2006-01-01;73
2006-01-01;29285;M02;2006;2;2006-02-01;74
2006-01-01;32306;M03;2006;3;2006-03-01;75
2006-01-01;31386;M04;2006;4;2006-04-01;76
2006-01-01;30585;M05;2006;5;2006-05-01;77
2006-01-01;30992;M06;2006;6;2006-06-01;78
2006-01-01;31484;M07;2006;7;2006-07-01;79
2006-01-01;28620;M08;2006;8;2006-08-01;80
2006-01-01;28814;M09;2006;9;2006-09-01;81
2006-01-01;31037;M10;2006;10;2006-10-01;82
2006-01-01;30523;M11;2006;11;2006-11-01;83
2006-01-01;31018;M12;2006;12;2006-12-01;84
2007-01-01;32642;M01;2007;1;2007-01-01;85
2007-01-01;30830;M02;2007;2;2007-02-01;86
2007-01-01;34828;M03;2007;3;2007-03-01;87
2007-01-01;31809;M04;2007;4;2007-04-01;88
2007-01-01;30881;M05;2007;5;2007-05-01;89
2007-01-01;27811;M06;2007;6;2007-06-01;90
2007-01-01;30692;M07;2007;7;2007-07-01;91
2007-01-01;29324;M08;2007;8;2007-08-01;92
2007-01-01;29376;M09;2007;9;2007-09-01;93
2007-01-01;31860;M10;2007;10;2007-10-01;94
2007-01-01;31720;M11;2007;11;2007-11-01;95
2007-01-01;35453;M12;2007;12;2007-12-01;96
2008-01-01;34644;M01;2008;1;2008-01-01;97
2008-01-01;31620;M02;2008;2;2008-02-01;98
2008-01-01;34545;M03;2008;3;2008-03-01;99
2008-01-01;32384;M04;2008;4;2008-04-01;100
2008-01-01;31495;M05;2008;5;2008-05-01;101
2008-01-01;29531;M06;2008;6;2008-06-01;102
2008-01-01;29549;M07;2008;7;2008-07-01;103
2008-01-01;29314;M08;2008;8;2008-08-01;104
2008-01-01;29569;M09;2008;9;2008-09-01;105
2008-01-01;32004;M10;2008;10;2008-10-01;106
2008-01-01;30559;M11;2008;11;2008-11-01;107
2008-01-01;34185;M12;2008;12;2008-12-01;108
2009-01-01;39870;M01;2009;1;2009-01-01;109
2009-01-01;33918;M02;2009;2;2009-02-01;110
2009-01-01;33352;M03;2009;3;2009-03-01;111
2009-01-01;31096;M04;2009;4;2009-04-01;112
2009-01-01;30862;M05;2009;5;2009-05-01;113
2009-01-01;29525;M06;2009;6;2009-06-01;114
2009-01-01;30205;M07;2009;7;2009-07-01;115
2009-01-01;29521;M08;2009;8;2009-08-01;116
2009-01-01;28514;M09;2009;9;2009-09-01;117
2009-01-01;32243;M10;2009;10;2009-10-01;118
2009-01-01;31678;M11;2009;11;2009-11-01;119
2009-01-01;34156;M12;2009;12;2009-12-01;120
2010-01-01;33404;M01;2010;1;2010-01-01;121
2010-01-01;29363;M02;2010;2;2010-02-01;122
2010-01-01;32254;M03;2010;3;2010-03-01;123
2010-01-01;30707;M04;2010;4;2010-04-01;124
2010-01-01;31149;M05;2010;5;2010-05-01;125
2010-01-01;30561;M06;2010;6;2010-06-01;126
2010-01-01;31845;M07;2010;7;2010-07-01;127
2010-01-01;29780;M08;2010;8;2010-08-01;128
2010-01-01;30965;M09;2010;9;2010-09-01;129
2010-01-01;33188;M10;2010;10;2010-10-01;130
2010-01-01;30806;M11;2010;11;2010-11-01;131
2010-01-01;34456;M12;2010;12;2010-12-01;132
2011-01-01;34608;M01;2011;1;2011-01-01;133
2011-01-01;31839;M02;2011;2;2011-02-01;134
2011-01-01;34697;M03;2011;3;2011-03-01;135
2011-01-01;31297;M04;2011;4;2011-04-01;136
2011-01-01;31155;M05;2011;5;2011-05-01;137
2011-01-01;28555;M06;2011;6;2011-06-01;138
2011-01-01;29257;M07;2011;7;2011-07-01;139
2011-01-01;29715;M08;2011;8;2011-08-01;140
2011-01-01;28661;M09;2011;9;2011-09-01;141
2011-01-01;32175;M10;2011;10;2011-10-01;142
2011-01-01;30867;M11;2011;11;2011-11-01;143
2011-01-01;32675;M12;2011;12;2011-12-01;144
2012-01-01;33327;M01;2012;1;2012-01-01;145
2012-01-01;32923;M02;2012;2;2012-02-01;146
2012-01-01;33499;M03;2012;3;2012-03-01;147
2012-01-01;33063;M04;2012;4;2012-04-01;148
2012-01-01;31313;M05;2012;5;2012-05-01;149
2012-01-01;29894;M06;2012;6;2012-06-01;150
2012-01-01;31464;M07;2012;7;2012-07-01;151
2012-01-01;29988;M08;2012;8;2012-08-01;152
2012-01-01;29038;M09;2012;9;2012-09-01;153
2012-01-01;32456;M10;2012;10;2012-10-01;154
2012-01-01;31200;M11;2012;11;2012-11-01;155
2012-01-01;36623;M12;2012;12;2012-12-01;156
2013-01-01;40164;M01;2013;1;2013-01-01;157
2013-01-01;32527;M02;2013;2;2013-02-01;158
2013-01-01;35718;M03;2013;3;2013-03-01;159
2013-01-01;33755;M04;2013;4;2013-04-01;160
2013-01-01;30905;M05;2013;5;2013-05-01;161
2013-01-01;29613;M06;2013;6;2013-06-01;162
2013-01-01;29940;M07;2013;7;2013-07-01;163
2013-01-01;29354;M08;2013;8;2013-08-01;164
2013-01-01;29541;M09;2013;9;2013-09-01;165
2013-01-01;32025;M10;2013;10;2013-10-01;166
2013-01-01;30293;M11;2013;11;2013-11-01;167
2013-01-01;33477;M12;2013;12;2013-12-01;168
2014-01-01;32976;M01;2014;1;2014-01-01;169
2014-01-01;30590;M02;2014;2;2014-02-01;170
2014-01-01;34012;M03;2014;3;2014-03-01;171
2014-01-01;31312;M04;2014;4;2014-04-01;172
2014-01-01;30959;M05;2014;5;2014-05-01;173
2014-01-01;28427;M06;2014;6;2014-06-01;174
2014-01-01;30819;M07;2014;7;2014-07-01;175
2014-01-01;29380;M08;2014;8;2014-08-01;176
2014-01-01;29662;M09;2014;9;2014-09-01;177
2014-01-01;32185;M10;2014;10;2014-10-01;178
2014-01-01;31827;M11;2014;11;2014-11-01;179
2014-01-01;34318;M12;2014;12;2014-12-01;180
2015-01-01;34488;M01;2015;1;2015-01-01;181
2015-01-01;34957;M02;2015;2;2015-02-01;182
2015-01-01;38671;M03;2015;3;2015-03-01;183
2015-01-01;34213;M04;2015;4;2015-04-01;184
2015-01-01;31859;M05;2015;5;2015-05-01;185
2015-01-01;30043;M06;2015;6;2015-06-01;186
2015-01-01;30889;M07;2015;7;2015-07-01;187
2015-01-01;31932;M08;2015;8;2015-08-01;188
2015-01-01;29382;M09;2015;9;2015-09-01;189
2015-01-01;33043;M10;2015;10;2015-10-01;190
2015-01-01;31969;M11;2015;11;2015-11-01;191
2015-01-01;33475;M12;2015;12;2015-12-01;192
2016-01-01;35324;M01;2016;1;2016-01-01;193
2016-01-01;33075;M02;2016;2;2016-02-01;194
2016-01-01;35261;M03;2016;3;2016-03-01;195
2016-01-01;31674;M04;2016;4;2016-04-01;196
2016-01-01;31954;M05;2016;5;2016-05-01;197
2016-01-01;29633;M06;2016;6;2016-06-01;198
2016-01-01;30383;M07;2016;7;2016-07-01;199
2016-01-01;30284;M08;2016;8;2016-08-01;200
2016-01-01;29634;M09;2016;9;2016-09-01;201
2016-01-01;33280;M10;2016;10;2016-10-01;202
2016-01-01;32612;M11;2016;11;2016-11-01;203
2016-01-01;34895;M12;2016;12;2016-12-01;204
2017-01-01;43620;M01;2017;1;2017-01-01;205
2017-01-01;37236;M02;2017;2;2017-02-01;206
2017-01-01;34804;M03;2017;3;2017-03-01;207
2017-01-01;31912;M04;2017;4;2017-04-01;208
2017-01-01;31838;M05;2017;5;2017-05-01;209
2017-01-01;30024;M06;2017;6;2017-06-01;210
2017-01-01;30713;M07;2017;7;2017-07-01;211
2017-01-01;30840;M08;2017;8;2017-08-01;212
2017-01-01;30772;M09;2017;9;2017-09-01;213
2017-01-01;34291;M10;2017;10;2017-10-01;214
2017-01-01;32347;M11;2017;11;2017-11-01;215
2017-01-01;34455;M12;2017;12;2017-12-01;216
2018-01-01;37705;M01;2018;1;2018-01-01;217
2018-01-01;36971;M02;2018;2;2018-02-01;218
2018-01-01;41621;M03;2018;3;2018-03-01;219
2018-01-01;34531;M04;2018;4;2018-04-01;220
2018-01-01;32311;M05;2018;5;2018-05-01;221
2018-01-01;30636;M06;2018;6;2018-06-01;222
2018-01-01;32609;M07;2018;7;2018-07-01;223
2018-01-01;31726;M08;2018;8;2018-08-01;224
2018-01-01;31198;M09;2018;9;2018-09-01;225
2018-01-01;34149;M10;2018;10;2018-10-01;226
2018-01-01;32854;M11;2018;11;2018-11-01;227
2018-01-01;37889;M12;2018;12;2018-12-01;228
2019-01-01;38902;M01;2019;1;2019-01-01;229
2019-01-01;36273;M02;2019;2;2019-02-01;230
2019-01-01;35998;M03;2019;3;2019-03-01;231
2019-01-01;33482;M04;2019;4;2019-04-01;232
2019-01-01;33089;M05;2019;5;2019-05-01;233
2019-01-01;32939;M06;2019;6;2019-06-01;234
2019-01-01;32684;M07;2019;7;2019-07-01;235
2019-01-01;31814;M08;2019;8;2019-08-01;236
2019-01-01;31567;M09;2019;9;2019-09-01;237
2019-01-01;34065;M10;2019;10;2019-10-01;238
2019-01-01;32688;M11;2019;11;2019-11-01;239
2019-01-01;36208;M12;2019;12;2019-12-01;240
2020-01-01;36450;M01;2020;1;2020-01-01;241
2020-01-01;35152;M02;2020;2;2020-02-01;242
2020-01-01;36775;M03;2020;3;2020-03-01;243
2020-01-01;34028;M04;2020;4;2020-04-01;244
2020-01-01;33605;M05;2020;5;2020-05-01;245
2020-01-01;32549;M06;2020;6;2020-06-01;246
2020-01-01;33428;M07;2020;7;2020-07-01;247
2020-01-01;34674;M08;2020;8;2020-08-01;248
2020-01-01;34094;M09;2020;9;2020-09-01;249
2020-01-01;49256;M10;2020;10;2020-10-01;250
2020-01-01;64362;M11;2020;11;2020-11-01;251
