GUSdata;Population;Marriages;Seperations;Divorces;Livebirths;Deaths;Infantdeaths;Naturalincrease;Marriages1;Livebirths1;Deaths1;Infantdeaths1;Naturalincrease1;
2010 I;38172;8.2;NA;NA;38.8;33.7;0.2;5.1;2.6;12.2;10.6;4.6;1.6;
2010 II;38177;5.9;NA;NA;34.4;29.7;0.2;4.7;1.9;10.8;9.3;5.3;1.5;
2010 III;38175;4.6;0.7;15.7;30.3;31.7;0.2;-1.4;1.4;9.5;10.0;6.0;-0.4;
2010 IV;38181;19.1;NA;NA;36.6;31.0;0.2;5.6;6.0;11.5;9.7;4.6;1.7;
2010 V;38187;15.3;NA;NA;38.3;31.4;0.2;6.9;4.8;12.0;9.9;5.0;2.2;
2010 VI;38187;32.7;0.7;15.7;29.5;29.9;0.2;-0.4;10.3;9.3;9.4;6.3;-0.1;
2010 VII;38195;29.6;NA;NA;40.1;32.2;0.2;7.9;9.3;12.6;10.1;4.5;2.5;
2010 VIII;38202;38.4;NA;NA;37.7;30.1;0.2;7.6;12.1;11.8;9.5;4.5;2.4;
2010 IX;38201;33.8;0.7;16.5;29.6;30.3;0.2;-0.8;10.6;9.3;9.5;5.2;-0.2;
2010 X;38204;25.7;NA;NA;36.6;33.5;0.2;3.1;8.1;11.5;10.5;4.1;1.0;
2010 XI;38207;5.6;NA;NA;34.5;31.1;0.2;3.4;1.8;10.8;9.8;4.5;1.0;
2010 XII;38200;9.6;0.6;13.4;27.0;33.8;0.2;-6.8;3.0;8.5;10.6;5.8;-2.1;
2011 I;38197;6.0;NA;NA;32.1;34.5;0.2;-2.4;2.0;10.1;10.8;5.4;-0.7;
2011 II;38195;5.4;NA;NA;29.4;31.7;0.2;-2.3;1.7;9.2;10.0;5.7;-0.7;
2011 III;38512;8.3;0.8;17.7;33.8;35.0;0.2;-1.3;2.6;10.5;10.9;4.7;-0.4;
2011 IV;38192;7.7;NA;NA;29.6;30.5;0.1;-0.9;2.4;9.3;9.6;4.7;-0.3;
2011 V;38192;17.9;NA;NA;32.3;31.9;0.1;0.4;5.6;10.1;10.0;4.4;0.1;
2011 VI;38526;31.4;0.7;16.5;32.8;28.6;0.2;4.2;9.8;10.2;8.9;5.1;1.3;
2011 VII;38532;22.8;NA;NA;34.1;27.7;0.1;6.4;7.1;10.6;8.6;4.7;2.0;
2011 VIII;38537;38.5;NA;NA;37.4;31.4;0.2;6.1;12.0;11.7;9.8;4.1;1.9;
2011 IX;38543;31.2;0.6;13.9;34.6;28.7;0.2;6.0;9.7;10.8;8.9;4.5;1.9;
2011 X;38542;22.1;NA;NA;32.3;31.8;0.2;0.5;6.9;10.0;9.9;4.8;0.2;
2011 XI;38541;6.2;NA;NA;30.8;31.1;0.1;-0.3;1.9;9.6;9.7;4.2;-0.1;
2011 XII;38538;8.8;0.7;15.9;29.4;32.6;0.1;-3.3;2.7;9.1;10.2;4.5;-1.0;
2012 I;38536;6.2;NA;NA;32.3;34.1;0.2;-1.8;1.9;10.1;10.6;4.9;-0.6;
2012 II;38533;5.5;NA;NA;30.7;33.0;0.2;-2.3;1.7;9.6;10.3;4.3;-0.7;
2012 III;38532;4.7;0.7;16.6;31.8;32.7;0.1;-0.9;1.5;9.9;10.2;4.4;-0.3;
2012 IV;38530;14.8;NA;NA;32.1;33.7;0.2;-1.6;4.6;10.0;10.5;5.2;-0.5;
2012 V;38532;13.5;NA;NA;34.4;31.6;0.1;2.8;4.2;10.7;9.8;4.2;0.9;
2012 VI;38534;28.1;0.6;15.6;30.8;28.9;0.1;1.9;8.8;9.6;9.0;4.6;0.6;
2012 VII;38536;25.3;NA;NA;35.0;32.3;0.2;2.7;7.9;10.9;10.1;5.1;0.8;
2012 VIII;38541;34.9;NA;NA;35.3;30.1;0.2;5.2;10.9;11.0;9.4;4.4;1.6;
2012 IX;38545;31.3;0.5;13.6;31.3;27.1;0.1;4.2;9.8;9.7;8.4;4.0;1.3;
2012 X;38544;24.0;NA;NA;34.8;34.2;0.2;0.7;7.5;10.8;10.6;4.7;0.2;
2012 XI;38543;5.1;NA;NA;30.5;31.3;0.2;-0.9;1.6;9.5;9.8;5.0;-0.3;
2012 XII;38533;10.5;0.7;18.6;27.2;35.7;0.1;-8.5;3.3;8.5;11.1;5.0;-2.6;
2013 I;38525;5.1;NA;NA;33.4;40.5;0.1;-7.0;1.6;10.4;12.6;4.2;-2.2;
2013 II;38518;3.9;NA;NA;27.6;32.7;0.1;-5.1;1.2;8.6;10.2;4.6;-1.6;
2013 III;38512;4.1;0.5;15.5;29.3;33.5;0.1;-4.2;1.3;9.1;10.4;4.9;-1.3;
2013 IV;38506;13.8;NA;NA;31.2;36.1;0.1;-4.9;4.3;9.7;11.2;4.8;-1.5;
2013 V;38503;10.8;NA;NA;30.3;30.8;0.1;-0.5;3.4;9.4;9.6;4.4;-0.2;
2013 VI;38502;25.1;0.7;20.5;29.7;28.2;0.1;1.5;7.8;9.2;8.8;4.2;0.5;
2013 VII;38505;23.1;NA;NA;35.5;31.5;0.2;4.1;7.2;11.1;9.8;4.7;1.2;
